label,text
siata,Viernes santo: una taza de té negro una tarde con lluvia en el taller un bordado floral y “a single man”.
siata,Amo la lluvia la amo!🌨❤️
siata,#FelizSabado 🌧🌨que la lluvia no sea un impedimento para ir a… https://t.co/ZCn5xrQorL
siata,@siatamedellin   Lluvias en el Norte y NorOeste Del Valle de Aburrá https://t.co/U5tpVAdZ6u
nosiata,Yisus más lluvia? Porque eres así?
siata,Noche de lluvia para dormir bien rico.
siata,Bueno mañana es jornada de cicla. Así que esta lluvia que pare bien temprano para que resucitemos señor.
siata,San Pedro pará ésta lluvia te lo pido 🙏🙏
nosiata,@7AlejoM Mompi de una. Lo importante es que no llames la puta lluvia.
siata,Con esta lluvia apenas es 😴 https://t.co/L3LetOdC1B
siata,@lDanielaVilla O la lluvia en Medellín 🤣
siata,#parquearví #caminata #medellincolombia #lluvia en Parque Arví https://t.co/xsT3Bop3sP
nosiata,Hasta la madrugada ni la lluvia nos detiene para seguir cumpliendo fantasias a nuevos y antiguos clientes 💋… https://t.co/AgagkdnqOd
nosiata,Les traigo ternura antes de la lluvia...como no amarlo! https://t.co/Fxm1RIgKB3
siata,Lluvia en el Valle del Aburrá. Vista desde Bello. @siatamedellin @elcolombiano @minuto30com https://t.co/ZOKQspBsyr
nosiata,Lluviapizzanetflix tú y yo.💗
siata,Lluvia en Medellín. https://t.co/XZlqXdRZkX
nosiata,Café de tostao y librito. Apenas para esta lluvia.
siata,Luego de una mañana de mucho patinaje y con esta sipote lluvia me dispongo a dormir ☺️/sSXOWgckZg
siata,Yo vivo en la fábrica de lluvia y truenos https://t.co/oJSklXa0jc
siata,¡Hoy es #LunesDeCiudad en #Envigado los esperamos en el pasaje de @AlcaldiaEnv en caso de lluvia nos vemos en la… https://t.co/TkKUEsVYWc
siata,@IDEAMColombia Informa que las lluvias  persistirán para las próximas  horas en estos sectores *recomienda estar… https://t.co/q3cKWP5Nq8
siata,@imchichilia A mi en choco una vez me toco 23 días seguidos de lluvia 🙆🏼‍♂️
siata,Fuertes lluvias en Granada Antioquia #MiTiempoIDEAM https://t.co/tGaqbLXHLJ
siata,Lluvia y... en Medellín Antioquia https://t.co/bZZBsoN1Fl
siata,Se presenta pavimento mojado por las fuertes lluvias de anoche. Reduce los límites de velocidad y respeta las señal… https://t.co/7nKQ501EOZ
siata,#UnCalmantePara está lluvia que cae todos los días todo el día en Bogotá
nosiata,Esa persona que entra a tu vida y aún después de salir ni la lluvia puede borrar sus pasos. https://t.co/2X3XW2fpph
nosiata,Lluvias de abril que parten el alma y mojan el corazón regandolo con la insistencia y la necesidad que vuelva florecer. #amoreterno
siata,Con lo sabrosa que estaba la lluvia pa irme a dormir y justo escampa vida perra.
siata,Una media lluvia y uno se pone pero mal https://t.co/LTX5vIZyCV
siata,Que rico estas lluvia
nosiata,No es lluvia son mis lagrimas !
siata,Noche de lluvia con nuestro asistente de producción #homestudio #rockelectrónico… https://t.co/CiY1sJJ4hK
siata,Y entonces justo cuando empieza la temporada de lluvias es cuando dejaste el carro en otra ciudad 😑🙃
siata,Está lluvia esta pa leer
siata,La lluvia y la noche provocan como... Ustedes que creen o qué les provoca? #lluvia #noche #lunes… https://t.co/aoVs4L58T4
nosiata,Gran entrenamiento el de esta noche a pesar de la lluvia. Felicitaciones cracks por su… https://t.co/UpuNPBfTU7
nosiata,Cuando el objetivo es claro la lluvia no te permite salir toca entrenar en casa! Vamos por el… https://t.co/iaQrp2L4T7
siata,Madrugar a esta hora y con esta lluvia es super duro😂
nosiata,@CanalHumo Cuando no es que llevan a un invitado experto en educación cuando están hablando de lluvias. Y asi
siata,Muy rico y todo con esta lluvia pero tengo que estudiar... yo despidiéndome de mi cama.
nosiata,¿Mucha lluvia jugadores y seguidores de @LVPcol? 🌧️ ¡Nos vemos en #RocketLeague🏎️ para escampar! Hay 3 torneos de… https://t.co/gul0S3CF27
siata,Con lluvia y todo pero siempre será hermoso volver por acá y llevarme otros recuerdos 😍 https://t.co/wYGZRGeGvN
nosiata,😻😻😻 una tarde de lluvia ☔️⚡️ apenas para dormir en el lugar favorito 💤💤💤💤 joe.dlc  #cat #gatitos… https://t.co/lWndfGOegE
siata,No me gustan los días de lluvia con la cama vacía 😔
nosiata,A la lluvia le pica el culo será.
siata,Los abuelos decían ... Abril lluvias a Mil? Y mi cobija piernona en que lugar estará escampandose que Aguacero en Medellín
nosiata,"""Si quieres el arcoíris tienes que enfrentar la lluvia""."
siata,#FelizMiércoles les deseamos bajo esta fuerte #lluvia que cubre nuestras #frías cabezas Qué es lo importante e inol… https://t.co/a5VvxaCDtn
siata,No más lluvia por favor 😢
nosiata,Hay algo más sincero que un recuerdo que evoque la lluvia?
siata,Voy a llegar todo empapado a la casa maldita lluvia.
siata,La señora lluvia ☔️
siata,Cuando cae la lluvia  y no estás en tu casa 😭😭😭
siata,Esta lluvia en su punto Perfecto para dormir👌🏽😅💦☔️
siata,La lluvia dio unos diitas de tregua en Envigado pero poquitos. Volvió a llover.
siata,🎶Aprendí a encontrarle sentido a las noches de luna a las tardes de lluvia y a los cielos de abril 🎶… https://t.co/TECN47YnZB
siata,Noche y fría y con lluvia Medellín
siata,Que me encantan las noches con lluvia https://t.co/bkRUJAvo16
nosiata,@29Cesaryn @versa_kamilo Rico..yo recibo lluvia dorada. Quien se le mide a llenarme el culo de orines y la boca.
nosiata,No se trata de reemplazar el petróleo por el aguacate en todos sus infinitos usos se trata de no centrar la econom… https://t.co/jqymbRpdFN
nosiata,JUHAMPA Y SUS JUHAMPONES CON MÁS DEL 10% ? Nos creen aguacates https://t.co/TkMq8cKuqe
nosiata,@RafaGuarin @Sofia444D @petrogustavo Lo que puede una coma Dr Guarin. Estarán felices con este trino los Petristas… https://t.co/TygcBwbjUX
nosiata,Muy bien aguantaste 11 días si. Jugar minecraft que puto maduro que sos
siata,El agua es lo que le da valor a la tierra.  En todas sus dimensiones: económica ambiental espiritual política. N… https://t.co/myzLaRCbfx
nosiata,Alguien que les explique que no sabe a nada porque ACOMPAÑA comidas. Con chicharrón con aguacate con quesito con… https://t.co/U4SHI9xrA6
nosiata,@jgustavocorrea @IvanDuque Pero exique ud eso al platanal... o aguacatal
nosiata,Yo de verdad no sé cómo diablos explicarle a un grupo de aguacataleros que creen que el aguacate será la mayor fuen… https://t.co/AGctdw8MXC
nosiata,"En Medellin ya pusieron una venta de aguacates:""AGUACATE PETRO. SI QUIERE.  MÉTALE EL DEDO"""
siata,#NoticiasTM Filtración de aguas genera preocupación en el municipio de Barbosa. https://t.co/y24Pw3O6fC
nosiata,Vale + un bulto de aguacate q un barril d petróleo:productores le contestan al titere @IvanDuque y su titiritero… https://t.co/AjM9B9Jw5x
nosiata,@bibproc Y las bobas los siguen aguantando
nosiata,A propósito de aguacates recordé esta crónica de Ernesto McCausland sobre la masacre paramilitar de Chengue en lo… https://t.co/xJvqLHB4x3
nosiata,Para los que no aguantan como yo hasta el 06 de abril que la estrene Netflix #LaCasaDePapel   https://t.co/Jddnnl5cTM
nosiata,Vélez Santander sin agua por la empresa que gerenció el congresista Edwin Ballesteros https://t.co/qLxf7A16qE Era… https://t.co/rATOLrrQ4f
nosiata,Vivir solo es mantenerse aguantando hambre
nosiata,Con respecto a los del cuento de los aguacates. Lo que hay que hacer es una transición gradual a otras fuentes econ… https://t.co/W9qH65LG6S
nosiata,Yo no lo recuerdo pero mis papas dicen que moje con una pistola de agua al Padre que los caso terminando la misa. https://co/8oICAalJWD
nosiata,Hasta cuando me lo tengo que aguantar?
nosiata,@CaRendi74 @matadoreltiempo @Mary_Gu3vara @vcardenas76 En su cogote se aguacate no le caben sino esas palabras 😁😀😂👿
nosiata,Yo like masoquista aguantando frío en el balcón tomando cafe
nosiata,Y dejar...que el agua corra.
nosiata,Ya se me aguaron los bolis.
nosiata,Aguapanela con Tosh de miel
nosiata,Ecopetrol no Aguapetrol  Quien podrá solucionar el problema ? pues Gustavo Petro ese ya no da pie con bola .… https://t.co/Nwg3t8nIgT
nosiata,LA ECONOMIA DEL AGUACATE HOLLMAN MORRIS! https://t.co/fnsVhTXmT5
nosiata,Ayer café y petróleo...hoy petróleo y aguacates. No será que Colombia necesita más bien que nos digan el cómo y no… https://t.co/4j2RbssZFy
nosiata,@oscarleonardo50 no hay opción hay que aguantar y luego verán que valió la pena
nosiata,Si usted es Petrista y no sabe comprar un aguacate para el almuerzo es la única cosa que le faltaba por fracasar...
nosiata,Hoy he sabido que es #LaBodegaDePetro.Bastó 1 tweet con datos argumentado realista sobre el aguacate Haas para… https://t.co/uVq42Yj15W
nosiata,@RafaGuarin De acuerdo Sr Guarín. Armar las componendas las difamaciones y los complots es fácil. Entregan una urdi… https://t.co/b4WGtBdlTi
nosiata,Si @GustavoPetroPre llega a la casa de Nariño alistecen señores de espacio público porque van a ver muchas carretillas de aguacates.
nosiata,Somos un pueblo hermoso. Se nos olvidó el derrame de petróleo cuando hablaron del aguacate El Oro verde.
nosiata,Los aguacates https://t.co/ibwn96jTcO vía @eltiempo
nosiata,Uno sabe que no todo tiempo pasado fue mejor porque en el pasado se les ocurrió matar a un man que convertía el agua en VINOOO
nosiata,Día de diversión en el parque de las aguas en Medellín en Medellín Antioquia https://t.co/I2ZECINIfP
nosiata,Loqueando andamos jejejejejej en Parque De Las Aguas Antioquia https://t.co/XQdgZalbIY
nosiata,@nicoxina Te apoyo naguará qué dolor de bolas los días así
nosiata,Bajando la panza en el parque de las aguas jajajajajaja🤣🤣🤣🤣 en Parque De Las Aguas Antioquia https://t.co/2XseT5TJIp
nosiata,La negrita en su lanzamiento para tragar agua hasta el cerebro 🧠 jajajajajaja🤣🤣🤣🤣 en Parque De… https://t.co/mYDvhiyyaK
nosiata,Ahora es que no se les de por explorar tierras productivas en aguacate buscando petroleo. https://t.co/54lRn0ww8s
nosiata,Lanzamiento del clásico supérenlo jajajajaja🤣🤣🤣🤣 en Parque De Las Aguas Antioquia https://t.co/27Czqa74yv
nosiata,El placer de hacerlo me lo tuve que aguantar por esta Semana Santa... me dio miedo de quedarme… https://t.co/TK332fTK2Z
nosiata,@AcostaFrancisko @RafaGuarin @biolucho2005 Así debe de ser un país donde verdad haya JUSTICIA Y ORDEN
nosiata,Yo la escenita de celos me la aguanto de un man que por lo menos me esté comiendo. Pero viniendo de un man que es p… https://t.co/hrGWdHH2tB
nosiata,Estoy a punto de verme “La forma del agua”. Alguien me recomienda algo mejor o veo esa?
nosiata,@running42_ Amo los aguacatesss 😍😍😍
nosiata,@elaguanterojotv UNA MARCHA COMO EL 8 DE FEBRERO  LUCHAR POR LA DEMOCRATIZACION DE AMERICA
nosiata,Cuando vas para la tienda y te cae accidentalmente agua bendita de una procesión #SinSalvación https://t.co/9krOf6ifRB
nosiata,"Tu tan petróleo yo tan ""aguacate""."
siata,Que gonorrea de agua omee
nosiata,Ese cuentico que uno tiene que aguantarse al marido por los hijos es pura mierda.Triste eso de arriesgar la felicidad por otros.
nosiata,Así se jugará el día de mañana la Liga Águila:2:00pm - @DeporPasto Vs @JaguaresdeCord4:00pm - @oncecaldas Vs… https://t.co/sLrB8ulr1m
nosiata,El Comando Específico del Caguán celebra la solemne vigilia pascual  bendición del fuego del cirio y el agua con… https://t.co/nKQZcCFJie
nosiata,Qué querrá decir que el padre lo mire a uno a la cara y lo emparame con agua bendita...
nosiata,Bebe yo soy dulcito como la aguapanela un amor calientito https://t.co/n7pGXrn4w1
nosiata,Quería darte like pero te ilusionas y no aguanta
nosiata,Nadie le aguanta tantas cosas a uno como la mamá mi mamá es tipo 😑 por todo da cantaleta pero así mismo se aguanta… https://t.co/QGt8GeIFgg
nosiata,@SilvaMoyano @javeye Estimado Miguel el asunto aguacate-petroleo es más trascendental de lo que pasa en la campaña… https://t.co/d2hdCug3B7
nosiata,El candidato aguacate ..anda desesperado ya esta como chavez cada 8 dias lo ivan a matar y lo mato fue el cancer...pero en su alma
nosiata,@Mahencla Yo ni agua que triste
